parkCode,parkName,county,state,GEOID,year,month,temp,tmax,tmin,pdsi,precip
acad,Acadia National Park,Hancock,ME,23009,1989,11,47.9,61.8,34.1,-1.37,0.41
acad,Acadia National Park,Hancock,ME,23009,1989,12,26.3,38.8,13.7,-2.0,0.58
acad,Acadia National Park,Hancock,ME,23009,1990,1,42.0,54.8,29.3,0.85,5.58
acad,Acadia National Park,Hancock,ME,23009,1990,2,43.2,54.6,31.8,2.03,6.51
acad,Acadia National Park,Hancock,ME,23009,1990,3,49.2,58.9,39.5,2.94,7.87
acad,Acadia National Park,Hancock,ME,23009,1990,4,55.4,67.5,43.3,2.62,4.12
acad,Acadia National Park,Hancock,ME,23009,1990,5,62.3,72.5,52.0,4.41,13.91
acad,Acadia National Park,Hancock,ME,23009,1990,6,74.3,84.6,64.0,-0.13,4.42
acad,Acadia National Park,Hancock,ME,23009,1990,7,76.2,87.5,64.9,-0.71,0.97
acad,Acadia National Park,Hancock,ME,23009,1990,8,76.9,89.1,64.6,-1.16,2.18
acad,Acadia National Park,Hancock,ME,23009,1990,9,72.6,84.7,60.5,-1.16,4.79
acad,Acadia National Park,Hancock,ME,23009,1990,10,55.2,68.6,41.8,-1.27,3.04
acad,Acadia National Park,Hancock,ME,23009,1990,11,52.1,64.1,40.2,-1.46,3.38
acad,Acadia National Park,Hancock,ME,23009,1990,12,35.6,45.8,25.5,1.09,6.56
acad,Acadia National Park,Hancock,ME,23009,1991,1,31.9,39.1,24.8,1.39,3.12
acad,Acadia National Park,Hancock,ME,23009,1991,2,43.5,56.8,30.2,-0.63,0.85
acad,Acadia National Park,Hancock,ME,23009,1991,3,50.2,62.2,38.2,-1.07,2.34
acad,Acadia National Park,Hancock,ME,23009,1991,4,58.0,69.3,46.7,-0.22,6.9
acad,Acadia National Park,Hancock,ME,23009,1991,5,69.3,79.3,59.4,-0.72,3.74
acad,Acadia National Park,Hancock,ME,23009,1991,6,75.1,85.8,64.3,-1.52,1.8
